,Age,Unnamed: 1,Primary streaming service,Hours per day,While working,Fav genre,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects
96,17,Young Adult,Spotify,4,Yes,Metal,Yes,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Rarely,2,1,0,0,Improve
97,17,Young Adult,Spotify,8,Yes,Rock,No,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Very frequently,Rarely,2,1,0,0,Improve
98,17,Young Adult,Spotify,2,No,Metal,Yes,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Very frequently,Sometimes,Never,Rarely,Very frequently,Rarely,2,1,0,0,Improve
99,17,Young Adult,I do not use a streaming service.,0.5,No,Classical,No,Very frequently,Never,Never,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Rarely,Rarely,Rarely,Never,Very frequently,Sometimes,2,1,0,0,Improve
100,17,Young Adult,Apple Music,5,Yes,Metal,No,Never,Rarely,Never,Never,Never,Sometimes,Never,Never,Never,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,2,1,0,0,No effect
101,17,Young Adult,YouTube Music,1,No,Rock,No,Rarely,Never,Very frequently,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Rarely,2,1,0,0,No effect
102,17,Young Adult,Spotify,3,Yes,Rock,Yes,Never,Never,Rarely,Never,Never,Rarely,Never,Sometimes,Never,Rarely,Rarely,Sometimes,Sometimes,Rarely,Very frequently,Sometimes,2,1,0,0,Improve
103,17,Young Adult,YouTube Music,2,Yes,Metal,Yes,Sometimes,Rarely,Never,Very frequently,Never,Never,Rarely,Never,Never,Rarely,Very frequently,Rarely,Never,Rarely,Sometimes,Very frequently,2,1,0,0,No effect
104,17,Young Adult,Spotify,3,Yes,Pop,Yes,Sometimes,Never,Rarely,Rarely,Rarely,Very frequently,Sometimes,Rarely,Rarely,Never,Rarely,Very frequently,Very frequently,Sometimes,Very frequently,Never,2,1,0,0,No effect
105,17,Young Adult,Spotify,2,Yes,Pop,No,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Never,Very frequently,Never,Rarely,Very frequently,Sometimes,2,1,0,0,Improve
106,17,Young Adult,Other streaming service,4,Yes,Metal,Yes,Rarely,Never,Sometimes,Never,Never,Sometimes,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Sometimes,Rarely,2,1,0,0,No effect
107,17,Young Adult,YouTube Music,3,Yes,Metal,No,Sometimes,Rarely,Never,Sometimes,Never,Never,Never,Never,Never,Never,Very frequently,Very frequently,Never,Never,Very frequently,Rarely,2,1,0,0,Improve
108,17,Young Adult,Spotify,2,Yes,Metal,Yes,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Never,Sometimes,Rarely,3,1,0,0,Improve
109,17,Young Adult,Spotify,3,No,Pop,No,Rarely,Never,Never,Never,Never,Sometimes,Rarely,Never,Rarely,Never,Never,Very frequently,Sometimes,Rarely,Never,Never,3,1,0,0,Improve
110,17,Young Adult,YouTube Music,4,Yes,Pop,No,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Rarely,Never,Never,Rarely,Very frequently,Rarely,Sometimes,Sometimes,Sometimes,3,1,0,0,Improve
111,17,Young Adult,Spotify,2,Yes,Rock,Yes,Sometimes,Never,Never,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,3,1,0,0,Improve
112,17,Young Adult,Spotify,8,Yes,K pop,Yes,Very frequently,Never,Rarely,Never,Never,Sometimes,Sometimes,Very frequently,Never,Very frequently,Never,Very frequently,Sometimes,Rarely,Rarely,Rarely,3,1,0,0,Improve
113,17,Young Adult,Spotify,4,Yes,Hip hop,Yes,Rarely,Never,Sometimes,Sometimes,Never,Very frequently,Rarely,Very frequently,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,3,1,0,0,Improve
114,17,Young Adult,Spotify,2,No,Metal,Yes,Never,Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Very frequently,Never,Never,Rarely,Sometimes,Never,3,1,0,0,Improve
115,17,Young Adult,Spotify,1,No,EDM,No,Never,Never,Very frequently,Never,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Very frequently,Very frequently,Sometimes,Sometimes,Never,3,1,0,0,Improve
116,17,Young Adult,Spotify,3,Yes,Rock,No,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Never,Very frequently,Sometimes,Very frequently,Very frequently,Sometimes,Very frequently,Sometimes,3,1,0,0,Improve
117,17,Young Adult,Spotify,0.5,No,Folk,No,Rarely,Sometimes,Never,Very frequently,Never,Rarely,Rarely,Never,Never,Never,Never,Sometimes,Never,Rarely,Very frequently,Rarely,3,1,0,0,Improve
118,17,Young Adult,Spotify,2,No,Rock,Yes,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Never,Very frequently,Very frequently,Never,Sometimes,Very frequently,Sometimes,3,1,0,0,No effect
